Line #,Comment,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,DIODE TVS 1500W 14V DO214AB (SMC) SMT,DIODE TVS 1500W 14V DO214AB (SMC) SMT,D15,1,,,,,,,
,EBYTE Sx1262 E22-900M30S,EBYTE Sx1262 E22-900M30S 850 - 930 MHZ 30Dbm Lora Modül 12Km,U11,1,,,,,,,
,FERRITE BEAD 0805 180R 4A SMD,Ferrite Beads Multi-Layer Power 180Ohm 25% 100MHz 4A 0.02Ohm DCR 0805 T/R Automotive AEC-Q200,"FB2, FB6",2,,,,,,,
,FERRÝTE BEADS 600 OHM POWER MURATA,Ferrite Beads Multi-Layer 600Ohm 25% 100MHz 500mA 350mOhm DCR 0603 Paper T/R,"FB1, FB3, FB4, FB5",4,,,,,,,
,IC-816 OPTOISO SMD4 LITEON,"Transistor Output Optocoupler, 1-Element, 5000V Isolation","U3, U4",2,,,,,,,
,IC-3232 DRVR/RCVR MLTCH RS232 16TSSOP,"IC, Transceiver, RS232 (2)Transmitters/(2)Receivers, 250Kbit, TSSOP-16, -40C to +85C",U10,1,,,,,,,
,IMU ACCEL/GYRO/MAG I2C/SPI 24QFN,"Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor I2C, SPI Output",U5,1,,,,,,,
,L86-M33,"GLONASS/GPS/QZSS Module 18, 4x18, 4x6, 4mm SMD w/Antenna L86-M33",U2,1,,,,,,,
,LED SMD 0805 GREEN 18-45mcd 140° WATER CLEAR,"Single Color LED, Brilliant Yellow Green, Water Clear, 1.4mm","D3, D6",2,,,,,,,
,LED SMD 0805 RED 45~112mcd 120C,"Single Color LED, Brilliant Red, Water Clear, 1.4mm","D11, D12, D14",3,,,,,,,
,LED SMD 0805 YELLOW 28.5-72mcd 140° WATER CLEAR,"Single Color LED, Brilliant Yellow, Water Clear, 1.4mm","D5, D8",2,,,,,,,
,Low VF Schottky Rect.,DIODE SCHOTTKY 5A 40V DO214AA (SMB) SMT,D2,1,,,,,,,
,MOSFET DIS.84A 25V N-CH TDSON-8 OPTIMOS SMT,Transistor: N-MOSFET; unipolar; 25V; 84A; 37W; PG-TDSON-8,"Q1, Q4",2,,,,,,,
,MS5611-01BA03,Pressure Sensor 1.44V to 3.6V 0.01bar to 1.2bar Absolute 8-Pin QFN T/R,U8,1,,,,,,,
,OR,RES.(1608) 0603 0 Ohms 1% 1/10W,"R28, R29",2,,,,,,,
,PDI-09S-5,"Right Angle, P.C.B., 5.0mm Footprint",J6,1,,,,,,,
,R2032-1F2DV - 3V Li-MnO2,Power-Xtra CR2032-1F2DV - 3V Li-MnO2 - Lithium Buton Pil - 2 Pinli - Dikey,BT1,1,,,,,,,
,SWITCH TACT 3.65x6.10 2.50mm 180gF SMT V/T,SWITCH TACT 3.65x6.10 2.50mm 180gF SMT V/T,"SW1, SW2",2,,,,,,,
,TRANSISTOR DIS.600mA 40V NPN SOT23 GEN. SMT,Trans Gp Bjt NPN 40V 0.6A 350MW 3-PIN SOT-23 T/r,"Q2, Q3, Q5",3,,,,,,,
,XT30 Konnektör,XT30 Konnektör,"J1, J2, J3, J4",4,,,,,,,
